tweet,autor,posicion_autor,rating
"“Desde que gobierna Ximo Puig, la tasa de paro juvenil se ha reducido hasta el 24,9%. En la Comunitat hay 47.900 jóvenes menos en paro respecto al 2015”",PSPV PSOE,,Engañoso
“Venía de despedir 7.000 médicos el antiguo gobierno socialista a que este gobierno de Juanma Moreno contrató a cerca de 25.000”,Elías Bendodo,Coordinador general del PP,Engañoso
“Este es un Gobierno que ha aprobado la ley de igualdad salarial (...) y ustedes [PP] votaron en contra de esa ley”,Pedro Sánchez,Presidente del Gobierno,Falso
"""La última manifestación donde acudió el Partido Popular, los miembros del Partido Popular que asistieron lo hicieron a título particular y ninguno hizo declaraciones públicas, el protagonismo fue de la sociedad civil""",Elías Bendodo,Coordinador general del PP,Engañoso
“Ustedes están gestionando lo público alcanzando cifras de récord que no se han conocido nunca: con récord de paro a pesar de las trampas que hace usted y su ministra de Trabajo considerando a los fijos discontinuos como inactivos”,Iván Espinosa de los Monteros,Portavoz de Vox en el Congreso,Falso
"“El PP critica la ley trans que se va a debatir aquí, la ley trans de este Gobierno, pero mantiene la ley trans de la Comunidad de Madrid donde ellos están gobernando desde hace más de dos décadas, ley que aprobaron ellos”",Iván Espinosa de los Monteros,Portavoz de Vox en el Congreso,Engañoso
“La sanidad de Madrid es la segunda mejor de Europa”,Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Falso
"“España será la economía europea con más crecimiento y menor inflación en 2023. Líderes en crecimiento: España 1,4, la UE 0,8. Con la inflación por debajo de la media europea: España 2,3, la UE: 2,8”",PSPV PSOE,,Engañoso
"""Somos la comunidad autónoma que más recursos recibe de fondos europeos para liderar su modernización y su desarrollo y eso es gracias a un gobierno socialista""",Juan Espadas,Secretario general del PSOE de Andalucía y candidato a la Presidencia de la Junta de Andalucía,Verdad a medias
“Obligan a hacer un curso a cualquiera que quiera tener un animal de compañía de cualquier especie. (...) vas a tener que hacer un curso para tener un loro”,Guillermo Díaz,Diputado,Falso
"“Desde que llegamos al Gobierno, se redujo el paro juvenil (...) once puntos, hemos creado 268 000 puestos de trabajo para los jóvenes y, hoy, tenemos una cifra de ocupados jóvenes por encima de los tres millones”",Yolanda Díaz,Vicepresidenta segunda del Gobierno y ministra de Trabajo y Economía Social,Engañoso
"“Con el último Gobierno del PP la tasa de paro juvenil en España era del 57%. Estaban exactamente a 31 puntos de distancia de la media europea. Hoy es del 29,6%, la distancia a la que estamos es justamente por la mitad""",Yolanda Díaz,Vicepresidenta segunda del Gobierno y ministra de Trabajo y Economía Social,Verdad a medias
“Incluso ha habido meses como el de diciembre que hemos creado el 70% del empleo de toda España”,Juan Manuel Moreno,Presidente de Andalucía,Engañoso
"“Y la inflación de verdad, la que nota la hipoteca, las viviendas, los recibos de la luz, la compra… esa está en el 7,5%, que es dos puntos más que la media de Europa”",Alberto Núñez Feijóo,Presidente del PP,Engañoso
“Se cerró el año 2022 con la noticia de que Castilla y León es la región con menos paro en toda España”,Jorge Buxadé,Eurodiputado,Engañoso
"""Los datos de Eurostat indican que nuestro país es uno de los países de la UE con menor recaudación fiscal y con menor gasto público. De hecho, seguimos recaudando por debajo de la UE y también recaudamos menos que lo que recauda la media de la eurozona""",Pedro Sánchez,Presidente del Gobierno,Engañoso
"“Hemos sacado 194 normas adelante y ayer, las dos votaciones, una con 7 votos en contra, de 350, y otra con 0 votos en contra”",Félix Bolaños,"Ministro de la Presidencia, Relaciones con las Cortes y Memoria Democrática",Verdad a medias
"“A pesar de ser uno de los sectores más importantes de nuestra economía, el turismo no tiene un PERTE, no tiene un plan financiado con fondos europeos específico para el sector”",Alberto Núñez Feijóo,Presidente del PP,Engañoso
"“Es un poco raro que tengamos mucho más trabajadores y sin embargo, no tengamos más horas trabajadas que antes de la pandemia”",Juan Bravo,Vicesecretario de Economía del PP,Engañoso
"""En estos cuatro años hemos conseguido estabilidad, serenidad y confianza en Andalucía (…). hemos conseguido liderazgos que parecían imposibles: Andalucía no era líder en turismo nacional y hoy es líder""",Juan Manuel Moreno,Presidente de Andalucía,Engañoso
"“Los datos del Ministerio del Interior dicen que los delitos, los hechos delictivos, han subido un 26% respecto a los últimos datos”",Daniel Sirera,Candidato a la alcaldía de Barcelona,Engañoso
"“Catalunya, que es el 16% de la población [de España], el 19% de su economía, recibe el 7% de estos fondos [europeos Next Generation]""",Jordi Turull,Secretario general de Junts per Catalunya,Engañoso
"La amniocentesis, como bien sabe, es una prueba que comporta un riesgo para la vida fetal, y en torno a eso se ofrece en todos los embarazos en todo el servicio público",Ignacio Garriga,Presidente del Grupo Parlamentario de Vox en Cataluña,Engañoso
"“(El Gobierno) Entregaron las competencias de tráfico de la Guardia Civil a Navarra por exigencia del partido de Otegui, sabiendo que eso significaba la expulsión de facto del cuerpo”",Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Engañoso
“(Sobre el bono cultural) Solo un tercio de los posibles beneficiados se apuntó a poco tiempo de acabarse el plazo”,Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Falso
"El país vecino Portugal tiene un ministerio solo dedicado al mar, el Ministerio del Mar",Elías Bendodo,Coordinador general del PP,Engañoso
"“¿Qué es la inflación subyacente? La de los productos básicos, la de la energía, la del día a día, ha vuelto a subir al 7%”",Elías Bendodo,Coordinador general del PP,Engañoso
"“Hay que señalar que España es el país de la OCDE en el que más porcentaje de salario se necesita para acceder a la vivienda""",Pablo Fernández,Secretario general de Unidas Podemos en Castilla y León,Falso
“El pasado mes de diciembre el paro de los menores de 25 años fue el menor desde el inicio de la serie histórica”,Pedro Sánchez,Presidente del Gobierno,Verdad a medias
"“[Ada Colau] prometió la construcción de 8.000 viviendas, y ha construido 200 y con apuros”",Anna Grau,Diputada en el Parlament de Catalunya,Engañoso
“El PP Madrid cumple sus compromisos con una rebaja del 60% la bajada del precio de los abonos”,PP Comunidad de Madrid,,Engañoso
“Este Gobierno ha salido a los españoles a razón de 6.000 millones de euros cada mes en deuda pública”,Alberto Núñez Feijóo,Presidente del PP,Verdad a medias
"“[Pere Aragonès ha sido] el presidente con más apoyos a la hora de convertirse en president, con 74 votos”",Laura Borràs,Presidenta suspendida del Parlament de Cataluña,Falso
"“Siempre los trabajadores fijos discontinuos, es decir, los que trabajaban unos meses y unos meses no, contaban en la lista del paro los meses que no trabajaban”",Elías Bendodo,Coordinador general del PP,Falso
"""El 44% de los contratos firmados en 2022 son fijos discontinuos""",Sergio Sayas,Diputado,Engañoso
"“Si hablamos de empresas, resulta que desde la pandemia se han perdido 53.000 empresas y desde que gobierna el señor Sánchez, 79.000 empresas”",Juan Bravo,Vicesecretario de Economía del PP,Engañoso
“España sigue siendo uno de los países más baratos relativamente [en el precio de los alimentos]”,Nadia Calviño,Vicepresidenta primera y ministra de Asuntos Económicos y Transformación Digital,Engañoso
"“El Estado financiará al 100% tren, metro y bus y seremos la única comunidad con todo el transporte público gratuito”",Francina Armengol,Presidenta del Gobierno balear,Verdad a medias
"""En 2021 fuimos la única ciudad europea en incumplir los niveles marcados""",Rita Maestre,Portavoz de Más Madrid en el Ayuntamiento de Madrid,Falso
"“Estamos en el peor escenario que se puede dar, que es la famosa estanflación”",Juan Bravo,Vicesecretario de Economía del PP,Falso
"“Las penas por asesinato están entre cinco y 10 años [de cárcel], a mí me piden seis”",Laura Borràs,Presidenta suspendida del Parlament de Cataluña,Engañoso
“La ley en Madrid obliga a hormonar cuando un menor se declara trans y un médico no puede oponerse”,Rocío Monasterio,Diputada en la Asamblea de Madrid,Falso
"“El presidente Sánchez ha conseguido liquidar el Midcat, un proyecto viable a corto plazo al que solo le quedaban menos de 100 kilómetros”",Guillermo Mariscal,Diputado del PP,Falso
“[El Tribunal Constitucional] lleva cuatro años con el mandato caducado”,Eva Granados,Portavoz socialista en el Senado,Engañoso
"“En el 2023, todos los organismos internacionales coinciden en que la economía española será la que más crezca de la UE, de las economías más importantes de la UE, por encima del 2%”",Félix Bolaños,"Ministro de la Presidencia, Relaciones con las Cortes y Memoria Democrática",Engañoso
“Somos el tercer país de la OCDE con más días de vacaciones”,Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Verdad a medias
“Cuando los miembros de tu Gobierno se han pronunciado a favor del autogolpe del expresidente de Perú”,Alberto Núñez Feijóo,Presidente del PP,Falso
"“La Ministra de Hacienda (...) sabe que en la defensa del veto, Feijóo no tiene ahora derecho a réplica""",Javier Maroto,Portavoz del PP en el Senado,Engañoso
"“Aquellos estados en los que los partidos independentistas son ilegales y no pueden presentarse a las elecciones: Alemania, Portugal, etc.”",Alberto Núñez Feijóo,Presidente del PP,Engañoso
“Hemos tenido un incremento respecto al año anterior del 153% de gasto en esta política [la Renta Garantizada de Ciudadanía]”,Carles Campuzano,Conseller de Derechos Sociales de la Generalitat de Cataluña,Engañoso
"""Euskal Herria ya rechazó esta Constitución y su ingreso en la OTAN""",Arnaldo Otegi,Coordinador general de EH Bildu,Engañoso
“(Al Gobierno) Venían a combatir la pobreza y la multiplican”,Carlos Rojas,Diputado,Engañoso
"“24 instituciones internacionales han refutado el presupuesto (...). Todos esos se han pronunciado diciendo que el presupuesto, de alguna manera o de otra, no se ajusta a la realidad”",Elías Bendodo,Coordinador general del PP,Engañoso
"“Ya ven que en España estos últimos años hemos reducido más de 13 puntos ese abandono escolar, había un porcentaje de un 26,6%”",Pilar Alegría,Ministra de Educación y Formación Profesional,Verdad a medias
“A Madrid viene más volumen de inversión al año que todo el que recibe México”,Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Falso
"""Es que en Extremadura (...) somos la tercera comunidad autónoma con más deuda de España y porque tenemos el índice de pobreza más grande de España""",Alberto Núñez Feijóo,Presidente del PP,Engañoso
"""Según los datos de la Agencia Tributaria, las sociedades de crédito tienen un tipo efectivo del 28% en el impuesto de sociedades frente al 18% de la media""",Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Engañoso
"“[ERC] es un partido que gana todas las elecciones que se celebran en Cataluña, elecciones al Congreso de los Diputados, al Senado, a elecciones municipales”",Oriol Junqueras,Presidente de Esquerra Republicana de Catalunya,Engañoso
"""Después de Madrid, Cataluña es la segunda comunidad autónoma que menos invierte en su sistema de salud [...]. Además, somos el territorio que desde 2009 más ha reducido el gasto, la inversión, en atención primaria""",Jéssica Albiach,Presidenta de En Comú Podem en el Parlament de Catalunya,Verdad a medias
"“Ahora mismo, el 1% de la población [española] acumula el 22% de la riqueza, hace 10 años, ese 1% acumulaba el 12% de la riqueza. Por lo tanto, 10 puntos de acentuación”",Natàlia Mas,Consellera de Economía de la Generalitat de Catalunya,Engañoso
“Las violaciones se han multiplicado por dos en España desde que Sánchez llegó al poder”,Santiago Abascal,Presidente de Vox,Engañoso
"“Porque yo quiero recordar que al inicio, cuando Sánchez entró en el Gobierno en 2018 (...) sacó el MidCat, lo sacó de la infraestructura estratégica y dijo que no era estratégico”",Dolors Montserrat,Portavoz del PP en el Parlamento Europeo,Engañoso
"“No es casualidad que en lo que llevamos de año se hayan incrementado un 27% los delitos [en Cataluña], el peor dato de toda España”",Alejandro Fernández,Presidente del PP de Cataluña,Engañoso
“(Sobre la reforma del delito de sedición) Es un compromiso de investidura que yo asumí ante las Cortes Generales”,Pedro Sánchez,Presidente del Gobierno,Falso
"“Lo que hay que hacer es bajar la ratio de deuda sobre el PIB, es lo que nosotros hemos estado haciendo, Gobierno responsable, desde 2018 y yo lamento que los gobiernos del PP no aprovechasen (...) para bajarla”",Nadia Calviño,Vicepresidenta primera y ministra de Asuntos Económicos y Transformación Digital,Engañoso
"""El Govern de la Generalitat lleva más de diez años sin construir vivienda""",Elia Tortolero,Portavoz del PSC,Falso
“Hay dos ocasiones de la historia de España en las que ha liderado la creación de empleo y crecimiento en la zona euro (...): durante los seis primeros años de de Aznar y durante los tres últimos de Rajoy”,Alejandro Fernández,Presidente del PP de Cataluña,Engañoso
"“El fracaso escolar aumenta en nuestro país (...)""",Elías Bendodo,Consejero de Presidencia de la Junta de Andalucía,Falso
Noviembre de 2022: “Andalucía es líder en creación de empleo en España gracias a las políticas de Juanma Moreno”,PP Andalucía,,Engañoso
"“En otros países, el delito de sedición tiene penas similares o superiores a las españolas. Alemania: se castiga con pena de prisión perpetua o de prisión de al menos 10 años (...)”",Partido Popular,,Engañoso
"“Detrás del Partido Popular hay 5 millones de votos ahora mismo, detrás de Unidas Podemos y los socios de la investidura hay 7”",Jaume Asens,Diputado,Engañoso
"“Tenemos mínimos históricos de temporalidad, de tasa de paro y de tasa de paro juvenil”",Nadia Calviño,Vicepresidenta primera y ministra de Asuntos Económicos y Transformación Digital,Engañoso
"""Dinamarca hace un mes había cuatro partidos en la coalición de gobierno. El partido pequeño dijo 'No nos gusta este gobierno'. Convocó inmediatamente elecciones""",Ramon Tremosa,Consejero de Empresa de la Generalitat,Engañoso
"“[Pere Aragonès] era el presidente de la Generalitat con más apoyos parlamentarios que nunca había tenido, 74, y ahora es el presidente de la Generalitat [...] que tiene menos apoyos de toda la historia del parlamentarismo”",Jordi Turull,Secretario general de Junts per Catalunya,Engañoso
“Nos achacan a los socialistas que aumentamos de manera escandalosa la deuda y hemos aumentado la deuda un 17%. El señor Rajoy la aumentó un 46%”,Patxi López,Portavoz del PSOE en el Congreso,Engañoso
"“(La Comunidad Valenciana) Somos la segunda comunidad de España que más inversión extranjera ha habido. Tenemos un balance positivo, 700 empresas más que han venido que se han ido”",Ximo Puig,Presidente de la Generalitat Valenciana,Engañoso
"“Ahí está la posibilidad de que las personas homosexuales puedan contraer matrimonio. Por cierto, una ley que sigue recurrida en el Tribunal Constitucional por parte del Partido Popular”",Pilar Alegría,Ministra de Educación y Formación Profesional,Verdad a medias
"""Quiero recordar que mi partido político no apoyó este artículo [el 25.4, por el que se suspendió a Laura Borràs] cuando se hizo la modificación del Reglamento en 2017""",Assumpta Escarp,Diputada del Parlamento de Cataluña,Falso
"""[A Sánchez] ha presumido de contener la inflación, después de liderarla durante meses y tener dos puntos más de inflación subyacente que la media de la UE""",Alberto Núñez Feijóo,Presidente del PP,Falso
"""Tampoco ha visto usted ninguna declaración de la Unión Europea en favor de la ampliación de la excepción ibérica para toda la Unión Europea""",Alberto Núñez Feijóo,Presidente del PP,Falso
“Ningún mileurista de España se va a beneficiar de la modificación del IRPF que ha hecho Sánchez”,Javier Maroto,Portavoz del PP en el Senado,Falso
"""Entre 2014 y 2018, señor Feijóo, ustedes aumentaron un 32% la deuda pública""",Pedro Sánchez,Presidente del Gobierno,Falso
"“La filosofía sin ir más lejos, por primera vez, es obligatoria, no voluntaria. Obligatoria en primero y en segundo de bachillerato, cuestión que por ejemplo, no sucedía con la LOMCE”",Pilar Alegría,Ministra de Educación y Formación Profesional,Engañoso
"""La línea 6 de Ferrocarrils de la Generalitat de Catalunya, la que va de Igualada a Barcelona, tarda 94 minutos, lo mismo que tardaba cuando se inauguró a finales del siglo XIX""",Salvador Illa,Líder del grupo parlamentario socialista en el Parlament catalán,Falso
"""Hasta hace bien poco tiempo, España tenía una de las cestas de la compra más baratas de la UE. Hoy sin embargo ya la cesta de la compra de productos básicos en España no es de las más baratas, sino de las más caras”",Alberto Núñez Feijóo,Presidente del PP,Engañoso
“La propia Guardia Urbana dice que el 80% de delitos en la ciudad [de Barcelona] se están cometiendo por menas”,Eva Parera,Presidenta de Valents,Falso
“Ustedes se gastan 248 millones de euros en TV3 y 291 millones en políticas educativas. ¿Pretenden hacernos creer que es normal gastar prácticamente lo mismo en TV3 que en políticas educativas?”,Alejandro Fernández,Candidato a la Generalitat,Engañoso
"“Lo importante es la aprobación de los Presupuestos, que vamos a tenerlos tres años seguidos en tiempo y forma”",Félix Bolaños,"Ministro de la Presidencia, Relaciones con las Cortes y Memoria Democrática",Engañoso
"""Uno de cada dos euros del gasto público en España ya va destinado a pagar pensiones. En 2005, era uno de cada cuatro""",Inés Arrimadas,Presidenta de Ciudadanos,Engañoso
"“Somos el país que más ha incrementado los impuestos en el año 2020, según datos de la OCDE”",Alberto Núñez Feijóo,Presidente del PP,Falso
"“Tenemos un 18% de gente que trabaja y, pese a trabajar, está en situación de pobreza”",Jéssica Albiach,Presidenta de En Comú Podem en el Parlament de Catalunya,Falso
"Sobre la elección del CGPJ: “El poder legislativo, el ejecutivo y el judicial tienen que emanar [...] de la representación legítima que se establece en el Congreso de los Diputados. [...] No diría que Bruselas está pidiendo otra cosa”",María Jesús Montero,Ministra de Hacienda y Función Pública,Engañoso
“Hemos visto cómo con ustedes en el Gobierno las listas de espera se han multiplicado por tres”,Sergio Sayas,Diputado,Engañoso
"“Hoy en España hay más de 13 millones de españoles en situación de pobreza y exclusión social, una cifra que no se alcanzaba desde la crisis de 2008 con Zapatero”",Cuca Gamarra,Diputada,Engañoso
"“En 2021, España fue el país donde más aumentó la pobreza en toda Europa, según Eurostat”",Iván Espinosa de los Monteros,Portavoz de Vox en el Congreso,Falso
“Estamos (en España) en mínimos históricos de paro juvenil”,Nadia Calviño,Vicepresidenta primera y ministra de Asuntos Económicos y Transformación Digital,Engañoso
"“En España hay litio, pero se prohíben las prospecciones”",Santiago Abascal,Presidente de Vox,Falso
"""Se lidera la creación de ocupación desde Catalunya""",Pere Aragonès,President de la Generalitat,Engañoso
"""[El Gobierno catalán] ha situado Cataluña en las peores listas del paro, de la exclusión social y de la pobreza”",Ignacio Garriga,Presidente del Grupo Parlamentario de Vox en Cataluña,Falso
"""Cada año son más los catalanes que abandonan los estudios de forma prematura en Cataluña, un 15% en 2021""",Ignacio Garriga,Presidente del Grupo Parlamentario de Vox en Cataluña,Engañoso
"""Supongo que le llega el CEO [...], los usuarios de Rodalies ponen nota a Rodalies, 7,7, de los mejor valorados""",Salvador Illa,Líder del grupo parlamentario socialista en el Parlament catalán,Engañoso
"“Y las únicas soluciones que proponen para ello son absurdas. Uno, cartillas de racionamiento. No se había visto desde la posguerra. Ustedes limitan el consumo horario de electricidad y de gas”",José María Figaredo,Diputado,Engañoso
"“Los ciudadanos están pagando en sus recibos un 35% menos que en Francia, un 40% menos que en Italia, un 25% menos que en Alemania”",PSOE,,Engañoso
"“Y los resultados están ahí, con la tasa de abandono escolar más baja del país”",Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Falso
La Junta de Andalucía solo financia la limpieza de los centros concertados,PSOE Andalucía,,Engañoso
"""Solo en este mandato habremos aumentado 1.000 agentes de la Guardia Urbana""",Ada Colau,Alcaldesa de Barcelona,Engañoso
“Tenemos la mayor presión fiscal de toda la OCDE”,PP Andalucía,,Engañoso
"""Sin olvidar el incremento de robos constantes en todas las poblaciones catalanas""",Joan Garriga,Portavoz de Vox en el Parlament de Catalunya,Engañoso
"“Yo quiero recordar que en esta legislatura hemos aprobado, creo que son, 161 iniciativas legislativas. Y el PP ha votado en contra a todas ellas”",Pilar Alegría,Ministra de Educación y Formación Profesional,Falso
"“(Sobre el aborto) Hay otros países que han logrado una reducción drástica, como Polonia o Hungría, con políticas de natalidad ayudando a que el aborto prácticamente desaparezca”",Santiago Abascal,Presidente de Vox,Engañoso
"""El president Aragonés y el señor Jordi Sànchez llegaron a un acuerdo que era que en la mesa de diálogo, en la mesa de negociación, se sentaba el Govern""",Marta Rovira,Secretaria general de Esquerra Republicana de Catalunya,Falso
"""La única fábrica de aluminio que tenía España, Alcoa, en A Mariña, ha cerrado""",Alberto Núñez Feijóo,Presidente del PP,Engañoso
"""Aquí no estamos hablando de Naciones Unidas, no se trata de la ONU, es un comité que en ningún caso habla en nombre de Naciones Unidas""",Lorena Roldán,Diputada en el Parlament de Catalunya,Engañoso
"""Según el Tribunal de Cuentas de la UE, España es el peor país a la hora de ejecutar los fondos de la UE""",Rafael Hernando,Senador,Falso
"""Somos, creo, la ciudad del Estado que destina más dinero por habitante a limpieza""",Ada Colau,Alcaldesa de Barcelona,Verdad a medias
"""De hecho, en la escuela pública están los centros de complejidad que sí hacen la sexta hora""",Josep González Cambray,Consejero de Educación de Cataluña,Engañoso
“Galicia es desde hoy la única comunidad de España en la que la educación infantil de cero a tres años es gratuita para todos los niños”,Alfonso Rueda,Presidente de la Xunta de Galicia,Verdad a medias
"“España es, después de Birmania, el país con más desaparecidos del mundo“",Pedro Sánchez,Presidente del Gobierno,Falso
"“No he visto que en ningún sitio hayan obligado a los comercios a las 22:00 de la noche apagar, a apagar los escaparates”",Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Falso
“Lo único que ha hecho [la excepción ibérica] es incrementar aún más los precios”,Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Falso
“En [el Departament d’]Interior estamos creciendo anualmente en 250 agentes en el cuerpo de Bomberos de la Generalitat y 100 en el de Agentes Rurales”,Joan Ignasi Elena,Conseller de Interior de la Generalitat de Catalunya,Engañoso
"“El video en el que la vicepresidenta, en 2019, dice públicamente, en una Comisión Parlamentaria que [el MidCat] no es su proyecto, que renuncia al proyecto (...) Ahora ha cambiado de nuevo”",Juan Bravo,Vicesecretario de Economía del PP,Engañoso
"“En plena crisis energética, el Sanchismo y separatismo siguen presionando a todos los niveles para cerrar centrales nucleares en Cataluña”",Ignacio Garriga,Presidente del Grupo Parlamentario de Vox en Cataluña,Engañoso
"“La ministra ha anunciado más de 500 millones en inversiones y acciones, pero un año después no se ha invertido ni un solo euro ni ha ejecutado una sola acción”",Fernando López Miras,Presidente de la Región de Murcia,Falso
"""Este decreto es un nuevo ataque a los autónomos. Y la muestra es que cada día que ha pasado desde que se aprobó este decretazo se han dado de baja como autónomos 350 personas en España""",Inés Arrimadas,Presidenta de Ciudadanos,Engañoso
“Ni el Presidente utiliza el Falcon para ir a actos de partido y ni Feijóo sabe cómo es el transporte intrainsular en Canarias”,María Jesús Montero,Ministra de Hacienda y Función Pública,Engañoso
"“Andalucía sigue destrozando récords: vuelve a ser líder en exportaciones, creación de empleo y autónomos”",Carolina España,"Consejera de Economía, Hacienda y Fondos Europeos de Andalucía",Falso
“Creo que hay una o dos comunidades que tienen [una ley propia de protección de las víctimas de terrorismo]”,Joan Ignasi Elena,Conseller de Interior de la Generalitat de Catalunya,Falso
“Solo VOX ha propuesto en el Congreso impulsar las centrales nucleares y derogar las leyes climáticas que impiden a España explotar sus recursos naturales”,Vox,,Engañoso
“España vuelve a ser en julio el país de la UE donde más suben los precios”,Sergio Sayas,Diputado,Falso
"“Cuando hacía falta ERTE (...), [el PP] no estaba. Cuando había que subir el IMV (...), cuando había que actualizar las pensiones (...), cuando había que prorrogar los estados de alarma no estaba (...) Cuando necesitamos el IMV, ¿dónde estás?""",Miquel Iceta,Ministro de Cultura y Deporte,Engañoso
“Ahora mismo estamos importando gas de Francia”,Inés Arrimadas,Presidenta de Ciudadanos,Verdad a medias
“[Sobre el plan de ahorro energético] Esas sanciones estaban vigentes desde el año 2009”,Pilar Llop,Ministra de Justicia,Engañoso
“Los únicos escaparates de Europa que estarán apagados serán los de España”,Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Verdad a medias
"“Dinamarca, Francia, Italia, Reino Unido, Bélgica Irlanda y Austria no tienen ningún plazo para desclasificar documentación”",Félix Bolaños,"Ministro de la Presidencia, Relaciones con las Cortes y Memoria Democrática",Engañoso
"“Proponer las mismas temperaturas a un comercio de congelados que a una librería. Poner las misma temperaturas a una tienda de frutas que a una tienda de ropa, es, simplemente, una improvisación”",Alberto Núñez Feijóo,Presidente del PP,Falso
"“En este último año la tasa de paro juvenil se ha reducido 13 puntos, (...) ha bajado del 38% al 25%”",Guillermo Fernández Vara,Presidente de Extremadura,Engañoso
"“Las medias de ratio son las más bajas de la historia (...) Por tanto, creo sinceramente que se ha hecho un esfuerzo notable en materia de educación”",Juan Manuel Moreno,Presidente de Andalucía,Verdad a medias
“La cesta de la compra aquí en España se ha incrementado casi un 25% y en Francia un 5%”,Juan Manuel Moreno,Presidente de Andalucía,Engañoso
“Somos el país más endeudado de la Unión Europea”,Alberto Núñez Feijóo,Presidente del PP,Falso
“(...) la Ley del Cambio Climático que aprobamos en el Congreso con los votos en contra de PP y Vox”,Jaume Asens,Diputado,Engañoso
“Hay más de 4.200 represaliados pendientes de un juicio u otro”,Jordi Turull,Secretario general de Junts per Catalunya,Engañoso
“Mantiene con escrupulosa fidelidad el tiempo del trayecto [en el sistema ferroviario] entre Barcelona y Puigcerdà exactamente igual que como en el capítulo de Pilar Prim de Narcís Oller el año 1906”,Laura Borràs,Presidenta del Parlament de Cataluña,Falso
"""El gasto militar de los países europeos es 20 veces más que el de Rusia. Si coge España, Italia, Francia, Alemania, cuatro veces más""",Gerardo Pisarello,Diputado,Engañoso
"""Vamos a tener una fábrica de semiconductores, la primera que haya en España""",Guillermo Fernández Vara,Presidente de Extremadura,Falso
"“Aquí [en Barcelona], habíamos ido bajando. La derecha hacía mucho discurso sobre la seguridad, pero el número de guardias urbanos iba bajando los últimos 10 años sin que nadie hiciera nada”",Jaume Collboni,Primer teniente de alcaldía de Barcelona,Falso
"“Laura Borràs, si aguanta hasta marzo, tendrá el 50% de su nómina, o el 40%, garantizada de forma vitalicia”",Joan Garriga,Portavoz de Vox en el Parlament de Catalunya,Engañoso
"“Según datos de su departamento [Interior], solo en Las Ramblas se producen 1.000 robos cada semana”",Lorena Roldán,Diputada en el Parlament de Catalunya,Falso
“Somos uno de los pocos países de la Unión Europea que aún no ha recuperado el nivel de crecimiento de antes de la pandemia”,Cuca Gamarra,Diputada,Engañoso
"“Desde el año 2019 no se ha creado empleo privado; solo se ha creado empleo público, destruyéndose empleo privado en España”",Santiago Abascal,Presidente de Vox,Engañoso
"“Cada cual puede preguntarse qué sucedería si estuvieran al frente del país quienes en otras crisis, como la financiera, nunca apostaron por los ERTE y sí por el despido libre”",Pedro Sánchez,Presidente del Gobierno,Engañoso
"""Usted encontró un país donde la inflación española era inferior a la de la zona euro""",Cuca Gamarra,Diputada,Falso
“En la anterior crisis financiera se tardaron más de diez años en recuperar los niveles de empleo previos a la crisis financiera”,Pedro Sánchez,Presidente del Gobierno,Verdad a medias
“Madrid tiene 5.000 sanitarios más que antes de la pandemia: hemos pasado de 80.000 a 85.000”,Enrique Ruiz Escudero,Consejero de Sanidad de la Comunidad de Madrid,Engañoso
“[El gasto militar en España] ya está por otra parte en niveles récord”,Ione Belarra,Ministra de Derechos Sociales y Agenda 2030,Falso
"“En la inmensa mayoría de las comunidades autónomas, empezando por las gobernadas por los socialistas, a las tres de la tarde cierran [las urgencias extrahospitalarias]”",Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Falso
"""Probablemente lo que sucede es que una renta media en Madrid duplica a las rentas medias de las comunidades gobernadas por los socialistas""",Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Engañoso
“No hay lugar en el mundo donde mueran tantos migrantes como en las fronteras españolas”,Josep María Jové,Presidente de ERC en el Parlament de Catalunya,Engañoso
"“Llevamos más de un año de legislatura. La única propuesta de ley que se ha aprobado aquí es la de medidas financieras; por lo demás, falta de proyecto propio”",Dolors Sabater,Presidenta del grupo parlamentario de la CUP en el Parlament de Cataluña,Engañoso
"“Este es el Gobierno que ha aumentado en estos presupuestos hasta 3.500 millones de euros la ayuda a la cooperación al desarrollo con los países africanos""",Pedro Sánchez,Presidente del Gobierno,Engañoso
“[España es] el segundo país de la Unión Europea con mayor inmigración irregular”,José Antonio Bermúdez De Castro,Diputado,Engañoso
"“Nadie planteó estas preguntas [si Ceuta y Melilla están protegidas por la OTAN] en el momento de la adhesión que, probablemente, es cuando había que haber planteado, ni a lo largo de estos 40 años con gobiernos de distinto signo”",José Manuel Albares,"Ministro de Asuntos Exteriores, de Unión Europea y de Cooperación",Falso
"“El PP votó en contra de la bajada de la luz del 21% al 10% del IVA, de la luz”",Félix Bolaños,"Ministro de la Presidencia, Relaciones con las Cortes y Memoria Democrática",Engañoso
