clasificacion,,texto,
Falso,En lo que va de 2018,"En lo que va de 2018 la caída del salario real del total de la economía alcanza el 7% según el INDEC. Según estimaciones no oficiales, al terminar el año sería una de las tres bajas anuales más importantes desde, por lo menos, 2003.",
Falso,En Bolivia sellan lo,En Bolivia sellan los pasaportes argentinos con una leyenda que dice “turista prohibido trabajar y estudiar”,
Verdadero,Circula una publicac,"Circula una publicación de 2017 que sostiene que, al entrar al país limítrofe, los pasaportes argentinos son estampados con esa frase. Sin embargo, fuentes oficiales desmintieron la información.",
Falso,En 2018 se entregan ,"En 2018 se entregan 800 mil pensiones por invalidez más que en 2007. Sin embargo, las víctimas fatales durante la Segunda Guerra Mundial en los países mencionados por el diputado de Evolución Radical fueron aproximadamente 8,2 millones.",
Falso,La imagen circuló en,"La imagen circuló en redes sociales y por WhatsApp. Sin embargo, la foto original fue publicada en enero de 2015 en la cuenta oficial de Facebook del ex diputado nacional del Frente Renovador e hijo el sindicalista Hugo Moyano.",
Falso,El senador del Bloqu,"El senador del Bloque Justicialista usó este dato para referirse a los extranjeros que viven en barrios populares. Sin embargo, la cantidad de villas en el Gran Buenos Aires no llega ni a una cuarta parte de lo mencionado por Pichetto.",
Falso,Es verdadero que onc,Es verdadero que once premios Nobel denunciaron la situación de la ciencia argentina,
Falso,Más de una decena de,Más de una decena de galardonados por la academia sueca enviaron mails para adherir a una carta abierta en la que científicos critican la situación de la Ciencia y Tecnología en el país durante la gestión de Mauricio Macri.,
Falso,"La Ciudad pagó $35,7","La Ciudad pagó $35,7 millones a Coca Cola Company para que sea sponsor de los Juegos Olímpicos de la Juventud",
Verdadero,El Gobierno porteño ,"El Gobierno porteño no le pagó a la casa matriz de la empresa para que fuera sponsor de la competición. Coca Cola Company brindó bebidas, caramañolas, juegos de mesa, sillas y sombrillas por ser miembro del Comité Olímpico Internacional (COI) sin ningún pago a cambio.",
Falso,En octubre los legis,En octubre los legisladores nacionales recibirán un aumento de 24%,
Falso,Un posteo en Faceboo,"Un posteo en Facebook afirma que los diputados y senadores de la Nación tendrán ese incremento en sus salarios durante el mes de octubre. Sin embargo, el número coincide con el aumento acumulado en lo que va del año de los sueldos de los legisladores a noviembre de este año y no con un solo aumento mensual.",
Falso,Es verdadero que Mac,Es verdadero que Macri calificó de “comportamientos tramposos” a los accidentes de trabajo,
Falso,La frase fue dicha p,La frase fue dicha por el Presidente de la Nación la semana última en la inauguración de la autopista urbana de Rosario.,
Verdadero,Es verdadero que Bol,Es verdadero que Bolsonaro dijo: “Seguiré las enseñanzas de Dios”,
Verdadero,La frase fue pronunc,La frase fue pronunciada por el presidente electo de Brasil durante un video de agradecimiento transmitido en vivo en su cuenta de Facebook luego de ganar el balotaje.,
Verdadero,Es verdadero que Heb,Es verdadero que Hebe de Bonafini fue a la protesta contra el Presupuesto 2019 con una máscara de gas,
Verdadero,El diario Perfil dio,El diario Perfil dio a conocer una foto en la que se ve a la titular de Madres de Plaza de Mayo con una máscara de ese tipo. Efectivamente eso sucedió y las imágenes fueron publicadas en redes oficiales de la organización.,
Verdadero,Es verdadero que Ivo,Es verdadero que Ivo Cutzarida cuestionó la ideología de género y el lenguaje inclusivo,
Verdadero,El actor realizó sus,El actor realizó sus críticas en Radio Mitre y fueron publicadas en la web del medio. Luego fueron replicadas textualmente por el sitio Radio Dos.,
Verdadero,Es verdadero que Jai,Es verdadero que Jair Bolsonaro ganó el balotaje y es el nuevo presidente de Brasil,
Verdadero,El candidato por el ,"El candidato por el Partido Social Liberal se consagró como nuevo presidente de Brasil con el 55% de los votos el domingo último, frente a Fernando Haddad, candidato por el Partido de los Trabajadores.",
Falso,Murió el cantante Ma,Murió el cantante Marco Antonio Solís,
Verdadero,Un texto afirma que ,"Un texto afirma que el músico falleció por culpa de una arritmia cardíaca. Sin embargo, esto es falso: el problema de salud nunca ocurrió y la imagen que se muestra está trucada.",
Falso,Quemaron una iglesia,Quemaron una iglesia y un perro en Trelew al finalizar el Encuentro Nacional de Mujeres,
Falso,El edificio que se v,"El edificio que se ve con fuego en las fotos es la puerta de la municipalidad de la ciudad. Además, desde el municipio confirmaron a este medio que no falleció ningún perro incendiado, y la policía provincial señaló lo mismo.",
Falso,Se está instalando u,Se está instalando una base militar estadounidense en Ushuaia,
Falso,El gobierno de la pr,El gobierno de la provincia de Tierra del Fuego y la embajada de los Estados Unidos en la Argentina desmintieron las versiones que circulan por redes sociales. El video y las notas que circulan no presentan ninguna prueba de la creación de la supuesta base.,
Falso,La OEA mantuvo una “,La OEA mantuvo una “reunión secreta” con Fernando Haddad,
Falso,Los temas de la reun,"Los temas de la reunión fueron públicos y se informaron. La Misión de Observación Electoral se reunió con varios candidatos, como lo hace siempre que participa de un proceso de elecciones. Según confirmaron a este medio desde la OEA, contactaron al equipo del candidato Bolsonaro en reiteradas oportunidades, pero no obtuvieron respuesta.",
Falso,El hecho ocurrió el ,El hecho ocurrió el último fin de semana de septiembre de 2018. La escuela estaba vacía y por eso no hubo personas afectadas.,
Verdadero,Es verdadero que en ,"Es verdadero que en el primer semestre de 2018 bajó la pobreza en San Luis 5,9 puntos",
Verdadero,La cifra publicada p,La cifra publicada por el sitio Agencia de Noticias de San Luis coincide con el número difundido por el INDEC. La pobreza bajó en dicha provincia por tercer semestre consecutivo.,
Verdadero,"Sí, en Berazategui s","Sí, en Berazategui se aprobó una ordenanza para implementar el programa “Kioskos Saludables” en escuelas",
Verdadero,El Concejo Deliberan,"El Concejo Deliberante aprobó la norma a fines de septiembre último. Promueve la incorporación de alimentos más sanos en los kioscos de ciertos establecimientos, como las escuelas públicas y privadas, los organismos públicos, los clubes y los hospitales.",
Verdadero,En 2018 las expulsio,"En 2018 las expulsiones de extranjeros aumentaron y alcanzaron su nivel récord, al menos desde 2006 (primer año con datos). Sin embargo, no se registró una cifra mayor que en el acumulado de los diez años anteriores, como dijo el ministro.",
Falso,"Solá, sobre el Presu","Solá, sobre el Presupuesto 2019: “El año que viene terminaría con seis puntos menos de PBI per cápita que en 2015”",
Falso,Las proyecciones ofi,"Las proyecciones oficiales muestran que el tamaño de la economía en 2019 sería 2% menor que 2015. Si se toma en cuenta el PBI por habitante, la caída sería aún mayor (6%), como destacó el diputado nacional de Red por Argentina.",
Verdadero,Es verdadero que Mas,Es verdadero que Massot dijo que “el FMI nos está prestando plata para pagar las jubilaciones”,
Verdadero,Las declaraciones de,Las declaraciones del diputado nacional de Cambiemos fueron dichas en una entrevista en radio La Red a fines de septiembre último.,
Verdadero,"Laspina, sobre el Pr","Laspina, sobre el Presupuesto 2019: “Las prestaciones sociales aumentan 37%”",
Verdadero,Según la “ley de ley,"Según la “ley de leyes”, el rubro que incluye las jubilaciones y asignaciones crece un 34,4 por ciento. Pero, al considerar la inflación estimada, la caída es del 0,3 por ciento.",
Falso,La baja en la provin,"La baja en la provincia norteña fue mayor que el total nacional pero no el doble como señaló el gobernador. Además, Salta es la segunda jurisdicción con mayor pobreza estructural cuando en 2001 era la tercera.",
Falso,Se trata de una proy,"Se trata de una proyección elaborada por la Secretaría de Turismo de la Nación. Si bien no son estadísticas que midan perfectamente la cantidad de viajantes, especialistas destacan que son las mejores disponibles.",
Verdadero,"Sí, es verdad que en","Sí, es verdad que en Mendoza se están rematando casas del IPV por falta de pago",
Verdadero,Las casas desadjudic,"Las casas desadjudicadas son viviendas no escrituradas con alto retraso de pago, y podrán ser readjudicadas a sus ocupantes o a familias de alta vulnerabilidad social identificadas por los municipios. También hay nueve viviendas que podrían ser rematadas.",
Verdadero,Es verdadero que se ,Es verdadero que se inundó el Hospital Pasteur de la provincia de Córdoba,
Verdadero,El hecho ocurrió a f,"El hecho ocurrió a fines de septiembre último. Sin embargo, el inconveniente ya fue solucionado y el hospital se encuentra en funcionamiento.",
Verdadero,Es verdadera la foto,Es verdadera la foto del joven desnutrido en Venezuela,
Verdadero,Un posteo de Faceboo,"Un posteo de Facebook muestra a un hombre de 26 años con desnutrición severa en un hospital de Venezuela. El caso se dio a conocer en junio de este año, y ya se encuentra mejor de salud.",
Verdadero,"Iguacel, sobre la re","Iguacel, sobre la resolución de Energía: “No es una compensación por la devaluación”",
Verdadero,Se aplicó una ley de,"Se aplicó una ley de 1992 que determina que las diferencias de precios deben trasladarse a los usuarios en semestres futuros. Sin embargo, esta ley fue creada en la convertibilidad, cuando no había riesgos devaluatorios, y no estuvo vigente entre 2002 y 2017 por la Ley de Emergencia Económica, que protegía a los usuarios de los aumentos del dólar.",
Falso,La foto original fue,"La foto original fue publicada en mayo de 2017 por el diario El Cronista, pero fue trucada para modificar la leyenda de uno de los carteles que llevaban los manifestantes de la organización social.",
Falso,Este año Christine L,Este año Christine Lagarde fue condenada por malversación de fondos públicos,
Falso,Un sitio publicó que,"Un sitio publicó que la directora del FMI fue condenada en septiembre último por desvío de recursos estatales cuando era ministra de Finanzas de Francia. Sin embargo, el caso ocurrió en 2016.",
Falso,Casi 100 mil ciudada,"Casi 100 mil ciudadanos venezolanos se radicaron en la Argentina desde 2006. Además, el saldo migratorio de este año indica que otros 54 mil se encuentran viviendo en el país y que pueden tener un trámite de residencia en gestión.",
Verdadero,La cifra publicada p,"La cifra publicada por el sitio coincide con el número difundido por el INDEC. Este indicador y la indigencia subieron en la primera mitad de 2018 con respecto a fines de 2017, aunque bajaron versus a la primera mitad de 2017.",
Verdadero,Si se analizan todas,"Si se analizan todas las exportaciones, en los primeros ocho meses del año crecieron 4 por ciento. Pero el Presidente, si bien no lo aclaró públicamente, excluyó de su análisis a los productos del complejo cerealero/oleaginosos afectados por la sequía para llegar a un número cercano al 20 por ciento.",
Falso,Es verdadero que Nov,"Es verdadero que Novaresio dijo que le preocupa que, si CFK vuelve al poder, no pueda seguir ejerciendo su profesión",
Falso,La frase la dijo el ,"La frase la dijo el periodista en una entrevista en el programa de Mauro Viale, “Mauro la pura verdad”, el domingo último.",
Verdadero,Es verdadero que fal,Es verdadero que falleció el folclorista Alfredo Ábalos,
Verdadero,El artista murió el ,"El artista murió el 24 de septiembre último en Santiago del Estero a los 80 años, culpa de una neumonía. La noticia fue confirmada por uno de sus hijos y por varios medios locales y nacionales.",
Falso,Margarita Barrientos,Margarita Barrientos denunció a La Cámpora por agredir un camión de su fundación durante el paro de esta semana,
Verdadero,Estos últimos días c,"Estos últimos días circuló un posteo en redes sociales que afirma que la fundadora del comedor Los Piletones acusó a la agrupación kirchnerista de atacar un camión que recolectaba comida durante la movilización del lunes último. Sin embargo, la acusación ocurrió en 2016.",
Falso,La persona junto a l,La persona junto a la Ferrari es un intendente chaqueño,
Falso,En el video se ve a ,"En el video se ve a otra persona que no es el jefe comunal de la localidad de Villa Río Bermejito, Lorenzo Heffner. Además, el auto no está registrado como de su propiedad sino de Cristino Villalba, un empresario chaqueño.",
Falso,Es verdadero el vide,Es verdadero el video del saqueo a una sucursal de Carrefour de Comodoro Rivadavia,
Falso,El hecho ocurrió el ,"El hecho ocurrió el 31 de agosto último, según confirmaron a este medio desde la empresa. Hubo nueve detenidos por la policía provincial, entre ellos cuatro menores.",
Verdadero,Es verdadero que en ,Es verdadero que en agosto subieron las ventas a Brasil y se redujo el déficit comercial,
Verdadero,Según un informe de ,"Según un informe de la consultora Abeceb, en base a información del Ministerio de Industria brasileño, en agosto último las exportaciones argentinas al país vecino crecieron 38,8 por ciento. Además, el rojo comercial con ese país se redujo un 52 por ciento.",
Falso,La monja que recibió,La monja que recibió los bolsos de José López aparece como desaparecida por la dictadura uruguaya,
Verdadero,La religiosa no figu,"La religiosa no figura en la lista difundida por el gobierno del país vecino. También se menciona que su familia cobra una pensión en dólares por ser, supuestamente, una desaparecida, pero eso también es falso ya que la indemnización se paga en pesos uruguayos.",
Falso,Todos los productos ,Todos los productos Arcor traen la bacteria salmonella,
Falso,Circula en las redes,"Circula en las redes sociales que los artículos de la multinacional argentina tienen esta bacteria y que no deben ser consumidos. Sin embargo, tanto desde la empresa como desde la ANMAT confirmaron la falsedad de la información.",
Falso,Si bien no hay una d,"Si bien no hay una definición puntual, la agencia Bloomberg y distintos especialistas destacan que el país es uno de los más frágiles, entre otras cosas, por su necesidad de dólares, el endeudamiento y la inflación. La mayoría de estos indicadores empeoraron durante la gestión de Cambiemos.",
Verdadero,Es verdadero que en ,Es verdadero que en Tierra del Fuego se descubrieron tres casos de estreptococo,
Verdadero,Se confirmó el lunes,"Se confirmó el lunes último que hay tres niñas con la bacteria, informó el Hospital Regional de Ushuaia en la provincia más austral del país. De todos modos, los casos no son graves y las pacientes no fueron hospitalizadas.",
Verdadero,Es verdadero que mur,"Es verdadero que murió José Manuel de la Sota, ex gobernador de Córdoba",
Verdadero,El ex mandatario pro,El ex mandatario provincial falleció en la noche del sábado 15 de septiembre último en un accidente automovilístico. Sus restos fueron velados durante el domingo y el lunes últimos.,
Falso,La NASA haya reconoc,La NASA haya reconocido como verdadero el contenido de la Biblia,
Verdadero,Un sitio religioso a,"Un sitio religioso afirmó que la institución norteamericana justificó una investigación basándose en dos pasajes bíblicos. Sin embargo, esto es falso y se trata de una leyenda urbana que circula hace más de 50 años.",
Falso,Circula en Facebook ,"Circula en Facebook un posteo que señala que hay tanques militares de ese país en el norte argentino. Sin embargo, el video fue grabado en Chile.",
Falso,La situación fiscal ,La situación fiscal de las provincias mejoró en el último año y con respecto a 2015. El factor principal fueron los recursos enviados desde la Nación luego de un fallo de la Corte Suprema.,
Verdadero,El Estado no le paga,El Estado no le paga a la Iglesia católica según la cantidad de personas bautizadas,
Verdadero,En ninguna de las tr,En ninguna de las tres leyes que regulan cuánto dinero el Estado le debe transferir a la Iglesia católica se afirma que el monto depende de cuántos fieles tenga la institución.,
Verdadero,La variación de la d,"La variación de la deuda en dólares constantes y como porcentaje del PBI, indicador recomendado por los especialistas, fue mayor en lo que va de la gestión de Mauricio Macri que durante la última dictadura militar.",
Verdadero,Circula en Facebook ,"Circula en Facebook una publicación falsa en la que se afirma que el actor dijo esto en contra del presidente de la Nación, Mauricio Macri. Sin embargo, no hay registros de estas afirmaciones en la entrevista citada y el actor confirmó a Chequeado que nunca dijo eso.",
Falso,Es verdadero que Hug,Es verdadero que Hugo Moyano dijo: “A Macri lo manejan”,
Falso,Las declaraciones de,Las declaraciones del líder del Sindicato de Camioneros fueron realizadas el seis de septiembre último. También cuestionó la capacidad del Presidente de la Nación y agregó que el jefe de Estado “tiene ganas de rajarse”.,
Verdadero,Circula en redes una,"Circula en redes una publicación de Facebook con una imagen de una grúa colocando un container bajo tierra. Allí se señala que el hecho ocurrió en la Patagonia argentina para culpar a la ex presidenta Fernández de Kirchner. Sin embargo, la foto es de una empresa extranjera de productos de defensa y seguridad.",
Falso,Una mujer tuvo un be,Una mujer tuvo un bebé a los 101 años,
Falso,Circulan en Facebook,"Circulan en Facebook posteos con una imagen de una anciana de esa edad y un bebé en brazos que es señalado como su hijo. Sin embargo, la foto es de 2015 y retrata a una señora junto a su bisnieta recién nacida.",
Falso,Decapitaron a la act,Decapitaron a la activista árabe Samar Badawi,
Falso,La militante de dere,"La militante de derechos humanos de Arabia Saudita está presa, pero hasta el momento no fue decapitada ni tampoco tiene una condena a muerte, según la información de organismos internacionales.",
Falso,En redes sociales ci,En redes sociales circula un video de un saqueo en Mendoza que es atribuido a distintos escenarios,
Falso,Un posteo en Faceboo,"Un posteo en Facebook señala que las imágenes fueron registradas en la provincia cuyana, otro que se tomaron en La Plata y un tercero que corresponden a 2012, aunque no dice en qué lugar fue filmado. Chequeado confirmó que el video fue filmado en Mendoza el 31 de agosto último.",
Verdadero,La foto que circula ,"La foto que circula en redes sociales está trucada. La original retrata al ex presidente de facto junto a Alfredo Martínez de Hoz, ministro de Economía durante la dictadura militar.",
Falso,Las declaraciones qu,"Las declaraciones que publicó el diario económico fueron realizadas por el Jefe de Gabinete el 30 de agosto último, luego de que se anunciara un nuevo acuerdo con el Fondo Monetario Internacional (FMI) para adelantar desembolsos de dinero.",
Verdadero,Los teléfonos robado,Los teléfonos robados que sean denunciados dejarán de funcionar,
Verdadero,A través de una inic,"A través de una iniciativa del Ministerio de Seguridad junto con el de Modernización, el Ente Nacional de Comunicaciones y el Gobierno de la Ciudad, los celulares robados que sean denunciados con una llamada al *910 quedarán fuera de servicio.",
Verdadero,Las cifras coinciden,"Las cifras coinciden con la medición de la Defensoría de la Tercera Edad, aunque los datos oficiales porteños distan de los marcados por la diputada del Frente Renovador.",
Falso,Es verdad que el min,Es verdad que el ministro Finocchiaro dijo que “el paro universitario es impulsado por una ‘alianza kirchnero-troskista’”,
Falso,Las declaraciones de,Las declaraciones del ministro de Educación de la Nación existieron y las realizó en una entrevista radial emitida en radio La Red.,
Verdadero,Las declaraciones de,Las declaraciones del presidente de Fiat son verdaderas y fueron emitidas el 30 de agosto de 2018 por FM La Patriada. En la entrevista que le realizaron se refirió a la suba del precio del dólar.,
Verdadero,El dato es verdadero,El dato es verdadero y surge del último reporte mensual del Instituto de Promoción de la Carne Vacuna Argentina. Más de la mitad de las exportaciones van a China.,
Falso,Niños sirios fueron ,Niños sirios fueron quemados en una jaula,
Verdadero,El hecho nunca exist,"El hecho nunca existió y la foto con la que ilustraron la nota está trucada y no fue tomada este año, como se señala en la publicación, sino en 2015.",
Falso,Diego Brancatelli ha,Diego Brancatelli haya dicho: “Pagar a los jubilados es gastar plata”,
Falso,Un sitio publicó un ,"Un sitio publicó un texto con una supuesta declaración del periodista sobre los jubilados. Sin embargo, no hay ninguna entrevista donde el panelista del programa “Intratables” haya afirmado eso. Además, Brancatelli confirmó que esas declaraciones son falsas.",
Falso,El Ministerio de Sal,"El Ministerio de Salud de la Nación confirmó que no se aplicará la última dosis de esta vacuna para este grupo etario debido a “dificultades en la adquisición y entrega”. Se decidió priorizar a los niños de 3,5 y 15 meses de vida.",
Falso,Ricky Martin fue gol,Ricky Martin fue golpeado por su pareja,
Verdadero,Las fotos que difund,"Las fotos que difundió el cantante en sus cuentas de Instagram y de Twitter, donde se lo ve golpeado, corresponden al backstage de la filmación de un videoclip y las marcas están hechas con maquillaje.",
Falso,Gendarmería encontró,Gendarmería encontró paquetes con dólares termosellados en Misiones,
Falso,Circula un posteo en,"Circula un posteo en Facebook que sostiene que encontraron billetes de la divisa extranjera en la provincia norteña durante un operativo de la fuerza federal. Sin embargo, fuentes oficiales indican que en el operativo se encontró marihuana y no dólares.",
Falso,La manifestación nun,La manifestación nunca existió y la imagen que circuló en redes es falsa. Se trata de un embotellamiento que se produjo en una autopista de China en 2015.,
Falso,Francia abrió la pue,Francia abrió la puerta a la pedofilia,
Falso,Un sitio publicó que,"Un sitio publicó que, a partir de una nueva ley, los adultos podrán tener relaciones sexuales con menores de manera legal. Sin embargo, es falso: el nuevo texto endureció las penas en caso de “infracción sexual” y, además, todo acto sexual (ya sea violación o no) con un menor de 15 años está penado por la ley francesa.",
Falso,El dato es verdadero,"El dato es verdadero y surge de estimaciones privadas de la Unión Industrial Argentina (UIA). Según el INDEC, que publicó los datos luego de la publicación de esta nota, la caída industrial en junio fue del 7,5 por ciento.",
Verdadero,Los fondos presupues,"Los fondos presupuestados para las universidades aumentaron un 110% en la gestión de Cambiemos. Sin embargo, si se toma en cuenta la inflación de ese período, hubo una caída real en los fondos destinados a las universidades.",
Falso,la quimioterapia mat,"la quimioterapia mata a la gente, no el cáncer",
Falso,El doctor citado com,"El doctor citado como fuente se basa en una investigación de los años 50, que no toma en cuenta los avances registrados desde entonces. En la Argentina, gracias a la detección temprana del tumor y a la aplicación de quimioterapias específicas, la tasa de mortalidad por cáncer viene disminuyendo desde 1980.",
Falso,Circula una foto y u,"Circula una foto y una leyenda que habla de supuestos militares de nuestro país recorriendo la vía pública con armas y tanques. Sin embargo, es falsa: la imagen muestra a las Fuerzas Armadas de México y fue tomada en ese país hace ocho años.",
Falso,Circuló en las últim,Circuló en las últimas semanas una nota publicada el año último por un sitio que afirma que la provincia menos desarrollada de la Argentina es Santiago del Estero. El dato surge de un estudio de la ONU realizado en 2016.,
Verdadero,En el primer semestr,"En el primer semestre de 2018, se registraron 450 abortos en Santa Fe",
Verdadero,Un medio provincial ,Un medio provincial publicó que en los primeros seis meses de este año se practicó esa cantidad de abortos legales en la provincia. Los datos son verdaderos y provienen del Ministerio de Salud santafesino.,
Falso,Ignacio Montoya Carl,Ignacio Montoya Carlotto denunció que le “pagaron para fingir ser un ‘nieto recuperado’”,
Verdadero,Circula en Facebook ,"Circula en Facebook un posteo que sostiene que el nieto de la presidenta de Abuelas de Plaza de Mayo denunció que recibió dinero para fingir serlo. Sin embargo, las declaraciones nunca existieron y él confirmó a Chequeado que esa información es falsa.",
Falso,300 curas católicos ,300 curas católicos abusaron a más de mil menores en Estados Unidos,
Falso,La investigación se ,La investigación se desarrolló en el estado de Pensilvania. Se trata de un informe judicial que demostró una serie de abusos a niños y niñas cometidos por sacerdotes y otros miembros de la Iglesia durante 70 años.,
Verdadero,"Máximo Kirchner, sob","Máximo Kirchner, sobre los dólares que ingresaron del FMI: “En un mes y medio ya quemaron la mitad en fuga de capitales: US$ 7 mil millones”",
Verdadero,Las reservas efectiv,Las reservas efectivamente cayeron en más de US$ 8 mil millones desde que ingresaron los dólares del acuerdo. Pero se debió a los mecanismos que estipula el propio acuerdo con el Fondo y todavía no hay datos sobre la fuga de capitales.,
Falso,La cantidad de deten,La cantidad de detenidos por violación a la “ley de drogas” durante la gestión del Frente para la Victoria en la Provincia es casi seis veces mayor a la registrada en lo que va de la gestión de Cambiemos.,
Falso,Un medio publicó que,Un medio publicó que Israel atacó a Gaza y dejó un muerto y ocho heridos. El hecho ocurrió el miércoles último y la cifra se elevó a tres fallecidos y más de 20 heridos.,
Falso,En julio se produjo ,En julio se produjo un alud en Italia,
Verdadero,El video compartido ,"El video compartido en Facebook fue registrado en febrero de 2010 en la localidad de Maierato, ubicada en la región de Calabria.",
Falso,El sitio publicó una,El sitio publicó una nota en la que se refirió al rechazo del proyecto de ley de interrupción voluntaria del embarazo. La sesión terminó con 38 votos en contra y 31 a favor.,
Verdadero,Los datos de ejecuci,"Los datos de ejecución presupuestaria coinciden con sus dichos, pero buena parte de los fondos presupuestados ya están comprometidos, es decir que ya tienen un fin asignado aunque no hayan sido ejecutados.",
Verdadero,Desde la legalizació,"Desde la legalización de la interrupción voluntaria del embarazo en 2012 se registraron en total tres muertes maternas por aborto, en todos los casos realizados por fuera del sistema de salud. Ninguno de los abortos legales provocaron la muerte de una mujer.",
Verdadero,De cada 10 embarazos,"De cada 10 embarazos adolescentes, siete no son deseados",
Verdadero,La cifra marcada por,"La cifra marcada por la legisladora de PRO-Cambiemos, que se pronunció a favor de la despenalización, concuerdan con los datos oficiales. Los embarazos adolescentes son casi 100 mil por año y alcanzan al 14% del total de los nacimientos.",
Verdadero,Los datos citados po,Los datos citados por el senador (PRO-Misiones) corresponden a las estimaciones internacionales sobre el tema.,
Verdadero,Más de cinco mil per,"Más de cinco mil personas manifestaron su voluntad para adoptar y los niños, niñas y adolescentes en esta situación son nueve mil, según datos oficiales. Pero la mayoría de las personas que expresaron su voluntad para adoptar esperan a un niño o niña de 0 a 1 año, un porcentaje menor del total, ya que los menores de 5 años representa un 24% y el 76% tienen entre 6 y 17 años.",
Verdadero,La cifra marcada por,"La cifra marcada por el senador del PJ, que se pronunció a favor de la legalización, concuerda con los datos oficiales. Al comparar el mismo año, el porcentaje de nacimientos de mujeres embarazadas en la provincia es 20 puntos mayor que a nivel nacional.",
Verdadero,"En 2016, último año ","En 2016, último año con información disponible, Corrientes tuvo una tasa por encima del promedio nacional, aunque no cuatro veces superior. La diferencia mencionada por la senadora no se produjo en ningún año desde 2011. La legisladora mencionó, erróneamente, la tasa de la mortalidad infantil de la provincia como si fuera la materna.",
Falso,El dato citado por e,El dato citado por el senador de Entre Ríos durante el debate en el Senado coincide con los datos oficiales sobre las mujeres atendidas en los hospitales públicos del país.,
Verdadero,El proyecto fue apro,"El proyecto fue aprobado con 39 votos a favor y cuatro en contra. Además de declarar a la provincia como un territorio en contra de la legalización del aborto, propone “exhortar” a los legisladores nacionales para que se manifiesten en contra de la media sanción de la Cámara de Diputados que tratará el Senado.",
Verdadero,Fue recuperado el ni,Fue recuperado el nieto 128 por abuelas de plaza de mayo,
Verdadero,El diario sanjuanino,"El diario sanjuanino se refirió a la restitución de la identidad de Marcos Ramos, nacido en Tucumán en 1976. Efectivamente, la noticia fue confirmada por la propia asociación durante una conferencia de prensa y en un comunicado publicado en su sitio oficial.",
Verdadero,Es verdadera la imag,Es verdadera la imagen del diario sueco que afirma: “Macri es una amenaza contra la democracia”,
Verdadero,El texto fue publica,"El texto fue publicado en el periódico ETC como una nota de opinión en febrero de 2016, sólo dos meses después de la asunción del Presidente. En la nota se critican los aumentos de tarifas y dos decretos presidenciales.",
Verdadero,Es verdad que son mú,"Es verdad que son múltiples los factores que reducen la mortalidad materna, y esto se observa en el país limítrofe donde este indicador es más bajo que en nuestro país y hay una legislación más restrictiva. Sin embargo, a contramano de lo dicho por Bullrich, también es cierto que el acceso a un aborto seguro es una de las políticas que permite limitar la muerte de mujeres embarazadas.",
Falso,"Macri, sobre las Fue","Macri, sobre las Fuerzas Armadas y las críticas de la oposición: “Sus candidatos a presidente, aquellos con los que yo competí hace dos años y medio, propusieron exactamente lo mismo”",
Falso,Ambos candidatos pre,"Ambos candidatos presidenciales proponían que las Fuerzas Armadas intervinieran en competencias de seguridad interior. Massa proyectaba algo aún más amplio que lo que decretó Cambiemos y Scioli algo más restrictivo: quería que las Fuerzas Armadas “blinden” todas las fronteras, o sea, ampliar el sistema que se había implementado durante el kirchnerismo en el norte del país.",
Falso,El caso se registró ,El caso se registró en Indonesia. La adolescente fue condenada a seis meses de cárcel por interrumpir su embarazo. Su agresor recibió una pena de dos años.,
Verdadero,Circula una imagen d,"Circula una imagen de Mafalda con un pañuelo celeste y una frase en contra del proyecto de ley de interrupción voluntaria del embarazo que se la atribuyen a Quino. Sin embargo, el dibujante negó haber autorizado esa imagen de Mafalda y dijo que no refleja su posición.",
Falso,El piquetero sostuvo,"El piquetero sostuvo eso durante una entrevista la semana última y comparó la situación con la época revolucionaria. Además, acusó al gabinete de ser “mafiosos y ladrones”.",
Falso,El Gobierno porteño ,El Gobierno porteño instaló una “estación de alivio de tensión” en el subte,
Verdadero,En la estación Plaza,En la estación Plaza Italia de la línea D se instaló un cartel con papel burbuja para simular una estación saludable y “que los porteños descarguen la ira”. El Gobierno de la Ciudad desmintió que se tratara de una iniciativa oficial.,
Falso,Chapo Guzmán escapó ,Chapo Guzmán escapó nuevamente de prisión en 2018,
Falso,Un sitio publicó en ,"Un sitio publicó en junio último una nota que afirma que el narcotraficante mexicano volvió a escapar de la prisión en la que estaba alojado. Sin embargo, el criminal no escapó ahora; lo hizo en 2015 y fue capturado nuevamente en 2016.",
Falso,"Sánchez Zinny, sobre","Sánchez Zinny, sobre la oferta a los docentes: “Mantiene el poder adquisitivo por el primer semestre de 2018, como la mantuvimos en 2017 y 2016”",
Falso,En el primer semestr,"En el primer semestre de 2018 los salarios docentes perdieron contra la inflación. Además, si se analiza toda la gestión de la Gobernadora bonaerense, desde diciembre de 2015, los docentes perdieron 7% de poder adquisitivo.",
Falso,Justin Bieber murió ,Justin Bieber murió en un accidente de autos,
Falso,Un texto afirma que ,"Un texto afirma que el músico falleció en un accidente automovilístico; sin embargo, esto es falso: el accidente nunca ocurrió y la imagen que se muestra está trucada.",
Falso,El nuevo presidente ,El nuevo presidente de México murió en un atentado,
Falso,Un texto afirma que ,"Un texto afirma que Andrés Manuel López Obrador, el mandatario mexicano electo recientemente, fue asesinado durante un ataque terrorista. Sin embargo, esto es falso: el hecho nunca ocurrió y la imagen que se muestra está trucada.",
Falso,Barack Obama fue ase,Barack Obama fue asesinado por un francotirador,
