clasificacion,texto
Falso,"Clauser utiliza argumentos falsos para negar la crisis climática, la cual existe y genera consecuencias cada vez más visibles en todo el mundo, como la reciente ola de calor que afectó Europa, Estados Unidos y China con temperaturas récord. "
Falso,Es falso que se anula el voto si se pega el sobre adentro del cuarto oscuro
Falso,"Circula un audio que dice que si el día de los comicios se pega el sobre del voto fuera de la vista de las autoridades de mesa, el voto queda anulado por asumir que fue pegado “con saliva”. Pero esto es falso. Autoridades de la Cámara Nacional Electoral y de la Justicia Nacional Electoral aseguraron que se trata de una desinformación y que en el Código Electoral Nacional no se precisa que cerrar el sobre fuera de la vista de las autoridades sea motivo para anular el voto."
Falso,"No, José Luis Perales no murió: el cantautor desmintió el rumor en un video subido a sus redes sociales"
Falso,Se viralizó en redes sociales la noticia de la supuesta muerte del cantautor español José Luis Perales. Esto es falso y fue desmentido por el propio artista en sus redes sociales.
Falso,Es falso el video del Ejército argentino que convoca a mujeres trans
Falso,"El video no aparece ni en la página web ni en las redes sociales oficiales del Ejército o del Ministerio de Defensa. Además, ambos organismos confirmaron a Chequeado que no hicieron esa convocatoria y que no se trata de un video oficial."
Falso,"No, científicos de la Universidad de Harvard no afirmaron que el mundo se terminará el 13 de noviembre de 2026"
Falso,"El estudio en el que se basa esta desinformación no predice el fin del mundo sino que afirma que en esa fecha podría haber una crisis por sobrepoblación. Además, enfrentó varias críticas de otros investigadores."
Falso,"Es falso que exista un precandidato de Javier Milei en Río Negro para las elecciones PASO que haga apología del nazismo, como difundió Vivana Canosa"
Falso,"José César Ruiz Andrioli -el hombre señalado- no será precandidato a ningún cargo por La Libertad Avanza el 13 de agosto próximo y, además, en la imagen difundida en el programa no estaba haciendo apología del nazismo."
Falso,"Es engañoso el tuit difundido por Cristian Ritondo: el titular es verdadero pero el video es de 2019, cuando él era ministro de Seguridad bonaerense"
Falso,"Si bien el titular sobre los patrulleros manejados por civiles es verdadero, el video -donde se ve a un miembro de la Guardia Urbana del partido bonaerense de La Matanza- se filmó cuando él era funcionario de la gestión de María Eugenia Vidal (2015-2019), no en 2023 como señaló Ritondo."
Falso,"No, Patricia Bullrich no eructó durante una entrevista con Viviana Canosa"
Falso,El video es un montaje de la entrevista original de la periodista con la precandidata a presidenta por Juntos por el Cambio.
Falso,Sergio Massa ya no era funcionario del Poder Ejecutivo cuando se vetó el 82% móvil en 2010
Falso,"El 14 de octubre de 2010, Cristina Fernández de Kirchner vetó la ley que concedía el 82% móvil a las jubilaciones mínimas. Pero Massa renunció a la ANSES en 2007 y a la Jefatura de Gabinete en 2009. "
Falso,Cómo detectar placas falsas que imitan a medios de comunicación en redes sociales
Falso,"En redes sociales circulan supuestas placas con presuntas frases que involucran al precandidato a jefe de Gobierno Martín Lousteau y a la legisladora porteña Ofelia Fernández, pero son falsas."
Falso,Es engañosa esta placa sobre la evolución del dólar desde 2003
Falso,"Si se considera la restricción a la compra de dólares, en la gestión de Alberto Fernández el dólar blue aumentó más que en los gobiernos anteriores, incluso que en el de Mauricio Macri, como se señala en la imagen. Considerando el valor oficial, aumentó más en la gestión de Macri que en el resto de las presidencias, al contrario de lo que afirma la publicación. Además, los porcentajes que se expresan en la publicación son incorrectos."
Falso,Es falso que LeBron James fue vestido de rosa para la película “Barbie”
Falso,"Las imágenes del basquetbolista estadounidense fueron creadas con herramientas de inteligencia artificial. Detalles, como la textura exageradamente suave de las plantas y el tono de la piel, indican que el contenido fue generado de esta forma."
Falso,Es falso el video donde supuestamente se ve una centella cruzando las vías del tren
Falso,"Las imágenes fueron publicadas en 2019 en YouTube y se crearon en forma digital, tal como admitió el propio usuario que subió el video. La secuencia también fue publicada por el canal The History Channel, donde se determinó su falsedad."
Falso,Horacio Rodríguez Larreta afirmó en un spot que en su gestión se hicieron “107 escuelas nuevas”
Falso,"Según datos oficiales, los 107 edificios escolares se inauguraron entre 2008 y 2023, durante las gestiones de Mauricio Macri y Rodríguez Larreta. Además, al menos 30 de los 107 establecimientos son reemplazo de un edificio de unidades educativas ya existentes."
Falso,Es falso que al descargarte unas fotos del terremoto de Cariaco de Venezuela te hackean el teléfono en 10 segundos
Falso,"No existe un software maligno capaz de ingresar en la generalidad de todos los celulares a partir de la descarga de una imagen. Además, los virus digitales pueden comprometer a los teléfonos de manera instantánea, por lo que el lapso de 10 segundos no tiene sentido, según los especialistas."
Verdadero,Juan Grabois: “El 40% de las familias argentinas no tiene gas natural” 
Verdadero,"Según estimaciones basadas en datos oficiales, unos 9 millones de hogares no cuentan con acceso a la red de gas, es decir, un 51% del total, un porcentaje superior al mencionado por Grabois."
Falso,"No, esta foto no muestra que apareció una cruz luminosa en el cielo de Rusia"
Falso,"La imagen, capturada un día de nieve, no muestra una cruz que aparece en el cielo, sino que es una cruz iluminada que está ubicada en la cima de Table Rock, una montaña ubicada en Boise, Estados Unidos."
Falso,"No, este anuncio 3D en el que una Barbie gigante aparece en el centro de Dubai no es real: se trata de un video generado por computadora"
Falso,"El video no muestra una instalación real o proyección 3D ubicada en Dubái como afirman publicaciones en redes sociales, sino que se trata de una grabación del Burj Khalifa -el edificio más alto del mundo- al que se le agregó digitalmente la muñeca."
Falso,"Es falso que el adrenocromo sea una droga que hace ver más joven a las personas, como afirmó el actor Jim Caviezel"
Falso,"El adrenocromo es un compuesto químico producido por la oxidación de la adrenalina, que se obtiene en un laboratorio y se utiliza como vasoconstrictor (es decir, un proceso para ralentizar el flujo de la sangre). "
Falso,"No, este el video en el que seguidores de Patricia Bullrich cantan “somos los pitukitos de Recoleta” no es real: el audio fue manipulado"
Falso,"En el video original, simpatizantes de la precandidata presidencial Patricia Bullrich (Juntos por el Cambio) aluden a “una Argentina en la que estemos todos menos Cristina”. Pocos días después comenzaron a circular las mismas imágenes pero con el audio manipulado."
Falso,Por qué la teoría conspirativa de los chemtrails o estelas químicas no tiene evidencia científica y cómo busca desinformar sobre el clima
Falso,"La teoría de los chemtrails asegura que los aviones largan sustancias químicas en el cielo para modificar el clima. Sin embargo, esto es falso. En realidad, son estelas de condensación que dejan los aviones a su paso"
Verdadero,Son verdaderas las imágenes de los astronautas que tropiezan en la Luna
Verdadero,La secuencia corresponde a una compilación de caídas de los tripulantes en las misiones Apolo de la NASA.
Falso,Es falso que Robert Kennedy Jr. no sugirió que el COVID-19 fue diseñado deliberadamente para no afectar a la población judía
Falso,"El abogado estadounidense -ambientalista y antivacunas- lo expresó en un video publicado por el medio New York Post, donde cita erróneamente un estudio que no sostiene su teoría."
Falso,Qué es el proyecto HAARP y por qué es falso que esté detrás de la crisis climática derivada del calentamiento global
Falso,"El proyecto de la Universidad de Alaska Fairbanks (Estados Unidos) estudia la ionósfera -la capa más externa de la atmósfera- y no afecta las capas más bajas, donde ocurren los fenómenos meteorológicos."
Verdadero,"Patricia Bullrich, sobre su gestión como ministra de Seguridad de la Nación: “Bajamos un 30% los homicidios en Rosario”"
Verdadero,"La tasa de homicidios dolosos cada 100 mil habitantes pasó de 18,64 en 2015 a 13,16 en 2019. Hubo una disminución del 29,4%, en línea con lo señalado por la precandidata presidencial."
Falso,Barack Obama y Joe Biden no se vistieron de rosado por la película de Barbie: las imágenes fueron creadas con inteligencia artificial
Falso,"La imagen es falsa. Fue creada con inteligencia artificial. La mano izquierda de Obama es de un color más claro antes de los nudillos y de un color más oscuro justo después. Los dientes de Biden no están bien definidos y no parecen humanos. Además, en la imagen Biden aparece con más cabello del que tiene."
Falso,Es falso que Lucas Grimson “falleció por sobredosis de marihuana” y que esta noticia fue publicada por Infobae
Falso,Grimson desmintió la información y citó el tuit viral que compartió una supuesta publicación de Infobae que anunciaba su muerte. Tampoco existe ningún registro de alguna noticia similar que haya sido publicada por Infobae o cualquier otro medio.
Falso,"Sergio Massa: “El Tesoro, del Presupuesto 2023, le transfirió $ 0 a Aerolíneas Argentinas”"
Falso,"De acuerdo con los datos oficiales, en 2023 el Tesoro aún no le transfirió fondos a la compañía aérea. Sin embargo, se comprometió a pagar $22.500 millones este año. Aerolíneas Argentinas todavía necesita del Estado nacional, pero logró reducir el envío de fondos."
Falso,"No, no hay evidencia de que la yerba mate contenga grafeno"
Falso,"El grafeno es un material que no tiene propiedades magnéticas; esto es, no se ve atraído por imanes al contrario de lo expuesto en el video viral."
Falso,Es falso que la nueva aplicación Threads “esconde algo oscuro” y que a partir del 25 de agosto las redes sociales “serán intervenidas”
Falso,"El logo de Threads invoca el signo de @, no el 666. Además, la Ley de Servicios Digitales es un reglamento de la Unión Europea que busca “mejorar los mecanismos de eliminación de contenidos ilícitos y de protección de los derechos de los usuarios en línea, incluida la libertad de expresión”."
Falso,"No, las vacunas contra la COVID-19 no causan cáncer u otras enfermedades"
Falso,"Circula en Instagram y Twitter un video que vincula los problemas de salud de 4 famosos con la vacunación contra la COVID-19. Sin embargo, no hay evidencia de que las vacunas causen cáncer u otras enfermedades."
Falso,Es engañoso el video que muestra la inauguración de una obra de la Universidad Nacional de Tucumán
Falso,"Lo que se inauguró fue un sector terminado de la obra que corresponde a la Facultad de Bioquímica, Química y Farmacia."
Falso,Es falso que un médico en Bolivia haya descubierto la cura contra el cáncer
Falso,"En un video viral se promociona un supuesto tratamiento natural contra el cáncer. Sin embargo, no cuenta con aval científico. La evidencia disponible no avala el uso de plantas medicinales como un tratamiento efectivo contra el cáncer."
Falso,"No, este video no muestra un hecho de inseguridad en Rosario: se trata de la escena de una película filmada en la Ciudad de Buenos Aires"
Falso,"La filmación que muestra a 3 hombres amenazando a punta de pistola a un supuesto policía arrodillado se viralizó como si fuera un hecho de inseguridad real ocurrido en Rosario, Santa Fe. Sin embargo, se trata de escenas del rodaje de la película “Madre, los hijos del dolor”,  filmada en el barrio Zavaleta, en la Ciudad de Buenos Aires. "
Falso,"Es falso que la animación de este video sea la película “L’ALTRA PAR”, que ganó el premio al mejor cortometraje en el Festival de Venecia"
Falso,El fragmento animado corresponde a un videoclip del año 2016 del compositor estadounidense Moby y su autor es Steve Cutts.
Falso,Es falso que esta imagen corresponde a una fotografía tomada en Ushuaia
Falso,"No existe ninguna referencia que permita asociar que esta fotografía, o una similar, fue tomada en la provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur."
Falso,Horacio Rodríguez Larreta: “Uno de cada 3 trabajadores con trabajo formal son pobres”
Falso,"El nivel actual de trabajadores registrados pobres está entre 19 y 14 puntos porcentuales por debajo de lo indicado por Rodríguez Larreta, pero aún así se observa una tendencia ascendente durante los últimos años."
Falso,Nuevo gasoducto: es engañoso el video viral que dice que la obra “es todo una farsa”
Falso,"El video es real: no está adulterado y se grabó luego de la inauguración oficial de la obra en Salliqueló. Los operarios no están “desmontando” la obra; sino realizando un trabajo estándar para automatizar una válvula del gasoducto. Esta tarea no afecta el llenado de la instalación gasífera, que está finalizada, sino que es un procedimiento destinado a su correcto funcionamiento. "
Falso,Es falso que al comprar on line desde el exterior con una tarjeta alemana en pesos argentinos el Banco Central de Argentina le devuelva al cliente el 40%
Falso,Se trató de una demora específica de Visa entre diciembre de 2022 y enero de 2023 y ese reintegro no lo realizaba el Banco Central sino las tiendas que ofrecían pagos en pesos.
Falso,Agustín Rossi: “El 25% de nuestra fuerza laboral es monotributista”
Falso,"Si se tienen en cuenta los 10,7 millones de trabajadores registrados y los 7,9 no registrados, los monotributistas representan el 13,3% del total, una cifra menor a la señalada por el precandidato a vicepresidente de Unión por la Patria."
Falso,Es falso que en la inauguración del gasoducto Néstor Kirchner abrieron la válvula sin la cañería terminada
Falso,"Fotos virales muestran una imagen parcial de la conexión del gasoducto, que termina en un mecanismo de seguridad. En la imagen completa se puede ver que el trazado del gasoducto se conecta con el sistema que transporta el gas al Gran Buenos Aires."
Falso,Es falso que la Antártida haya ganado hielo y que esto demuestra que el cambio climático no existe: se trata de una tergiversación de un estudio científico
Falso,"Un estudio publicado por la Unión Europea de Geociencias concluye que las plataformas de hielo antárticas -extensiones de capas de hielo que flotan sobre el océano- crecieron. Sin embargo, estas plataformas de hielo representan sólo el 10% aproximadamente de la superficie antártica."
Falso,"No, este video no es del momento de la implosión del submarino Titan: es una animación"
Falso,Una búsqueda de las imágenes arrojan que las primeras cuentas que lo publicaron indicaron que se trata de una recreación digital del accidente.
Falso,Es falso que César Sena declaró autopercibirse mujer para evitar la condena por femicidio y ser trasladado a un penal de mujeres
Falso,Tanto el abogado del acusado por el homicidio de Cecilia Strzyzowski como el fiscal de la causa negaron que exista un pedido de tales características.
Falso,"No, Sergio Massa no dijo: “Mi prioridad será luchar contra la inflación del 140% que dejará este gobierno”"
Falso,No hay registros ni en redes sociales ni en Google de estos dichos.
Falso,"No, este video del sumergible Titan no corresponde al viaje del accidente: fue grabado en 2021"
Falso,"La persona que grabó el video denunció que, tras el accidente fatal en junio de 2023, alguien tomó sus videos y los publicó como si fueran actuales."
Falso,"Juan Schiaretti: “En términos reales, el Producto Bruto por habitante en la Argentina es hoy casi el mismo que en 1974”"
Falso,"El Producto Bruto Interno per cápita fue en 2022 más alto que en 1974. Incluso, en 2023 se mantendrá por encima a pesar de que las proyecciones indican que este año caerá la economía."
Falso,"No, Emiliano “Dibu” Martínez no dijo: “El kirchnerismo es una enfermedad mental”"
Falso,No existen evidencias públicas de que el arquero haya hecho tal declaración.
Verdadero,Es verdadera la cita del diario de viaje de Cristóbal Colón en esta ficción
Verdadero,El espíritu del fragmento de la serie estadounidense coincide con el diario de viaje de Colón.
Verdadero,"Diego Santilli: “Tenemos 469% de inflación acumulada, en el gobierno de Cambiemos fue de 299%”"
Verdadero,"En mayo de 2023 -último dato disponible-, el gobierno de Alberto Fernández (Frente de Todos) alcanzó una inflación acumulada del 469%. Mauricio Macri (Cambiemos) terminó su gobierno en diciembre de 2019 con una inflación acumulada de 293,5%."
Falso,"No, esta fotografía de la ruta nevada no fue tomada en Mendoza, sino en Japón"
Falso,La fotografía circula por lo menos desde 2010 y corresponde a “los muros de nieve” de la ciudad de Tateyama.
Falso,"Patricia Bullrich, sobre las universidades: “Tenemos casi la mitad de la matrícula de alumnos extranjeros”"
Falso,"Según datos oficiales, en 2020 (último año con información) los estudiantes extranjeros representaban el 4,4% del total de estudiantes que concurrieron a universidades nacionales públicas y privadas del país. Se trata de una cifra lejana a la mencionada por la precandidata presidencial (50%)."
Verdadero,Es verdadero que Sergio Massa dijo que la cuestión electoral es “incompatible” con ser ministro de Economía
Verdadero,"La frase fue dicha por el ministro de Economía durante una entrevista que brindó a CNN en Español el 18 de febrero último, antes de que Unión por la Patria -la fuerza política que representa al oficialismo- lo anunciara como precandidato a presidente."
Verdadero,"Es verdadero que Mariel Fernández, intendenta de Moreno, dijo que contrató actores “blancos” para grabar los spots de campaña en 2019"
Verdadero,"Las palabras de la funcionaria fueron dichas durante un encuentro organizado por el Frente Patria Grande el sábado 17 de junio último, en la Facultad de Economía de la Universidad de Buenos Aires. "
Falso,"Sergio Massa: “En 2019, la inversión en obra pública cayó al 0,4% del PBI”"
Falso,"Según datos oficiales, la inversión en obra pública sufrió una caída en 2019, pero en un nivel inferior al planteado por el ministro de Economía: pasó de representar el 1,17% del PBI en 2018 al 0,93% ese año (no el 0,4%)."
Verdadero,Es verdadero el tuit de 2014 de Agustín Rossi donde califica a Sergio Massa como “la peor derecha”
Verdadero,El tuit del actual jefe de Gabinete y precandidato a vicepresidente de Sergio Massa en una de las listas de Unión por la Patria fue publicado durante el segundo gobierno de Cristina Fernández de Kirchner (Frente para la Victoria).
Falso,Es falso que un sargento del Ejército de Bolivia fue detenido “por disturbios” en Jujuy
Falso,"El contenido viral que circula fue desmentido a Chequeado por el Ministerio de Seguridad de la provincia norteña y por el ex director del medio de fact checking de Bolivia, César del Castillo."
Falso,"No, Mel Gibson no realizó ningún documental sobre el tráfico infantil"
Falso,Tanto su publicista como el realizador del documental vinculado con la temática afirmaron que el actor y director estadounidense no forma parte del proyecto.
Falso,Jorge Macri: “Hay 3 mil personas en situación de calle”
Falso,"Según los datos oficiales, hay 3.511 personas en situación de calle en la Ciudad, cifra similar a la mencionada por el precandidato. Sin embargo, organizaciones de la sociedad civil estimaron que hay cerca de 9.500 personas en esta situación. La diferencia se debe a las metodologías de medición."
Falso,La campaña de Sergio Massa no divulgó un afiche en el que promete “bajar la inflación a Massazos”
Falso,La imagen es un montaje hecho sobre una foto que circula desde 2022. Desde el área de Prensa de Sergio Massa confirmaron a Reverso que el cartel es falso.
Falso,Es falsa la placa de Sergio Massa que señala: “Mi principal objetivo como presidente será bajar la inflación”
Falso,"La placa que circula no es real sino que fue inventada. El estilo no tiene la misma tipografía que utiliza Clarín y el diario no publicó la imagen en sus redes sociales.
 "
Falso,"No, esta foto que muestra armas secuestradas no fue tomada recientemente en Jujuy sino en Perú en 2021"
Falso,"A través de una búsqueda inversa de imágenes en Google, Chequeado verificó que la foto no es actual ni fue tomada en Jujuy sino que pertenece a un decomiso de armas realizado en Perú en 2021."
Falso,Es falsa la foto del submarino Titan implosionado en el fondo del océano
Falso,La imagen que circula no es real ya que fue creada con herramientas de inteligencia artificial por una cuenta que publica parodias.
Falso,"No, los ataques cardíacos no ocurren con mayor frecuencia en la ducha"
Falso,"Los científicos aseguran que no existen evidencias de que, si una persona comienza mojándose la cabeza al ducharse, tiene mayor riesgo de sufrir un infarto."
Falso,El sumergible Titan: las 3 desinformaciones que circularon
Falso,"La captura de imagen falsa que afirmaba que habían encontrado el sumergible intacto, pero vacío, y los videos que indicaban que estaba el vicepresidente del Foro Económico Mundial y otro que afirma que los tripulantes nunca estuvieron en el sumergible y que todo se trataría de una conspiración son falsos."
Falso,Es falso que Elisa Carrió dijo que Luis Juez “puede ser el próximo Kirchner” y que pidió no votarlo en las elecciones de Córdoba
Falso,"Se trata de un video manipulado en el que se le agregaron declaraciones del candidato de Juntos por el Cambio a un mensaje de la líder de la Coalición Cívica, con la intención de sugerir que la ex diputada pidió a los cordobeses no votar por él. "
Falso,No fueron tomadas en Jujuy ni son actuales las fotos posteadas por la diputada del Frente de Todos Carolina Moisés
Falso,Las fotos que posteó corresponden a una manifestación en Perú durante enero de 2023 contra la presidenta peruana Dina Boluarte.
Verdadero,Violencia en Jujuy: cuáles son las desinformaciones que circularon
Verdadero,"Una nueva reforma de la Constitución fue aprobada este fin de semana en Jujuy, y se registraron hechos de violencia que dieron lugar a desinformaciones. En redes señalaron que tanto el gobernador Gerardo Morales (UCR) como la diputada nacional Carolina Moisés (FDT) utilizaron imágenes sacadas de contexto para ilustrar el conflicto. Es verdadero en ambos casos."
Falso,Es falso que una fan de Taylor Swift se suicidó en México por no conseguir entradas para el recital
Falso,Se trata de una publicación en Twitter en la que se utilizan 2 fotos fuera de contexto y se menciona información sobre la que no existe registro ante la Justicia de ese país.
Falso,La foto de militantes que tuiteó y luego borró el gobernador Gerardo Morales no es en Jujuy ni es actual
Falso,"Se trata de una imagen que fue subida a Instagram por la Agrupación Peronista 13 de abril, de Guernica, Provincia de Buenos Aires, en el marco de un evento realizado en el Club Social, Cultural y Deportivo de dicha ciudad. La foto tiene como fecha el 14 de abril de 2022, es decir, que fue subida hace 14 meses."
Falso,Es falsa la imagen del Papa Francisco con la bandera del orgullo LGBT
Falso,"Se trata de una imagen creada con inteligencia artificial (IA), y que fue comunicada así por sus propios creadores."
Falso,Cómo cuidarse de las desinformaciones con inteligencia artificial en las elecciones de 2023
Falso,"Imágenes o videos creados con inteligencia artificial suelen difundirse como si fueran contenidos auténticos, lo que puede causar desinformación. En un contexto electoral, esto podría afectar tanto a los candidatos como al proceso de votación. Cómo discernir si una imagen o un video fue creado con inteligencia artificial."
Falso,Es falso que captan a un alienígena en Las Vegas; el video se trata de una animación con efectos especiales
Falso,"El contenido fue publicado el 9 de junio de 2023 y está acompañado del hashtag #cgi, que significa “Imagen Generada por Computadora”."
Falso,Es falso que hubo un incendio en una iglesia de Boston durante la celebración de una boda gay
Falso,"El video fue grabado en la localidad de Spencer, Massachusetts, el 2 de junio de 2023, mientras el edificio estaba vacío. Durante una tormenta eléctrica, un rayo impactó en el campanario de la iglesia y provocó el incendio. "
Falso,Es falso que al descargarte unas fotos del volcán Chillán de Chile te hackean el teléfono en 10 segundos
Falso,"Circulan cadenas falsas sobre el riesgo de que te hackeen tu celular en caso de que te descargues o veas un contenido. Esto es falso, ya que no hay registros de que exista un software maligno con estas características."
Falso,Presidenta de mesa consignó por error 830 votos para el Frente de Todos en Tucumán; conteo final muestra datos correctos
Falso,Circula en redes sociales la imagen de un acta de escrutinio que “probaría” que existió fraude en los comicios provinciales de Tucumán del 11 de junio. Pero el documento fue enmendado y los datos cargados al sistema de recuento muestran la cifra correcta. 
Verdadero,"Martín Lousteau: “El Estado gasta el doble por cada uno de nosotros, ajustado por inflación, que hace 30 años”"
Verdadero,"El gasto público primario por habitante pasó de $ 908 en 1993 (equivalente a $ 147 mil de 2022) a $ 369 mil en 2022. Esto demuestra que aumentó 150% en términos reales, incluso más que lo dicho por Lousteau. "
Falso,Estafas digitales: cuidado con este mail que circula sobre Netflix
Falso,Usuarios advirtieron en Twitter sobre un mail apócrifo de Netflix donde se les solicita que realicen una actualización de los datos de pago del servicio. 
Falso,Es falso que el Tribunal de Derechos Humanos de Estrasburgo anuló el matrimonio homosexual
Falso,"Circula en WhatsApp y Twitter, una cadena que señala que “el Tribunal de Derechos Humanos más importante del mundo estableció textualmente que no existe el derecho al matrimonio homosexual”. Sin embargo, esto es falso. "
Falso,"Es falso que Mauricio Macri reveló detalles de una “charla íntima” con Bárbara Diez, ex pareja de Horacio Rodríguez Larreta"
Falso,Circula en TikTok un video que contiene una supuesta publicación de la cuenta de Twitter del diario La Nación en donde el ex presidente habría dicho: “Me contó todas las propiedades que le había robado a la Ciudad”.
Verdadero,Es verdadero que Juan Domingo Perón dijo: “Gobernar es crear trabajo”
Verdadero,"Fue dicho por Perón en 1971 para el documental “Perón: La revolución justicialista”. La frase fue expresada, sin citar explícitamente a Perón, por el actual presidente Alberto Fernández y el ministro del Interior de la Nación Eduardo “Wado” De Pedro, entre otros."
Falso,Elecciones 2023: cuáles son las desinformaciones de las que te tenés que cuidar este año
Falso,"En la Argentina volvemos a elegir representantes y -como en cada proceso electoral- se viraliza en las redes sociales información falsa sobre los comicios, lo que implica una amenaza al voto libre e informado de los ciudadanos."
Falso,"No, la artritis reumatoidea no se produce por una infección o toxina en el cuerpo y no se cura con una dieta"
Falso,Esto es falso ya que la artritis reumatoidea es una enfermedad autoinmune de causa hasta ahora desconocida y no hay ninguna dieta específica que haya demostrado prevenir o curar dicha enfermedad.
Falso,Es falsa la foto de Lionel Messi con un libro de Javier Milei en la mano
Falso,"Circula en Twitter y en Facebook una foto del capitán de la Selección argentina en la que supuestamente posa con un libro del precandidato presidencial por La Libertad Avanza, Javier Milei."
Falso,Es engañoso el posteo que asegura que las hojas de espinaca “sirven para curar la presión arterial y quitar el dolor de huesos”
Falso,Circula en Facebook un posteo que sostiene que las hojas de espinaca “sirven para curar la presión y quitar el dolor de huesos”. Junto a esta afirmación señalan que el motivo es el magnesio que contiene esta hoja verde. Esto es engañoso.
Falso,"Agustín Rossi: “Hoy tenemos una de las desocupaciones más bajas de la historia argentina, el 6,3%”"
Falso,"El Jefe de Gabinete de la Nación lanzó su precandidatura presidencial con un video en el que, entre otros puntos, se refirió a la tasa de desocupación en la Argentina en el cuarto trimestre de 2022, el último dato disponible."
Falso,"No, el Gobierno no dará una compensación para que personas menstruantes compren gel y pilas para consoladores, como afirma un audio viral"
Falso,"Circula en WhatsApp y redes sociales un audio que anuncia una “compensación mínima, vital y móvil” para que personas menstruantes compren gel y pilas para consoladores. Sin embargo, no existe ninguna ley, decreto, resolución o programa que establezca esos beneficios. "
Falso,"Luciano Laspina: “La economía ha caído un 13% en los últimos 10 años, en términos reales y per cápita”"
Falso,"El diputado nacional de Santa Fe por Juntos por el Cambio indicó a Chequeado que, para realizar el cálculo, se utilizó la proyección de que la economía caerá un 4% este año."
Falso,Es falso que comer hojas de laurel o beber su té sirve para combatir o curar la diabetes
Falso,Existen contenidos desinformantes que presentan las hojas de laurel y el té hecho con ellas como cura para la diabetes y otras enfermedades.
Falso,"Victoria Tolosa Paz, sobre el acampe de Unidad Piquetera: “El Estado nacional invierte más de $ 50 mil millones en el Servicio Alimentario Escolar”"
Falso,"El Presupuesto 2023 prevé un monto de $ 41.753 millones para la actividad “Comedores Escolares”, y en el primer cuatrimestre de 2023 las partidas cayeron un 40,3% en términos reales. Este recorte se da en un contexto de ajuste del programa de políticas alimentarias y de la AUH. "
Verdadero,"Sí, esta imagen de un rinoceronte blanco junto a su cuidador es verdadera"
Verdadero,"Forma parte de una serie de imágenes capturadas por el fotógrafo Matjaz Krivic en 2021. En 2022, la fotografía fue parte del premio “Fotógrafos de viajes del año” de National Geographic."
Falso,Es falso que este video con filas de autos es de una supuesta manifestación de camioneros contra la nueva ley migratoria en Florida y es prueba de una “Miami sin gasolina”
Falso,En un video de Facebook se muestra largas filas de autos y se asegura que no hay gasolina en Miami debido a una manifestación de camioneros por la nueva ley migratoria de Florida. Pero las imágenes no tienen relación con esa nueva legislación.
Falso,Es falso que este video es de latinos abandonando Florida por la “ley de migración”: se grabó en septiembre de 2017 y viajaban para huir del huracán Ian
Falso,"Circula un video titulado “Latinos abandonan el estado de La Florida por ley de migración”, que muestra largas filas de vehículos abandonando el estado. Esto es falso."
Falso,Es falso que esta foto de ataúdes con la bandera de Estados Unidos tiene relación con la guerra de Ucrania
Falso,"Se está difundiendo una imagen que asegura que militares estadounidenses han fallecido en Kiev en la guerra de Ucrania, pero es falso."
Falso,"No, Ofelia Fernández no dijo: “Si yo estuviera pasando hambre, también saldría a robar motos”"
Falso,"Circula en Twitter y Facebook una supuesta placa de Infobae que le atribuye esta frase a la legisladora porteña del Frente de Todos, a pocos días de un hecho policial en el que un policía de civil mató a la persona que le había robado su moto."
Falso,Son engañosas las publicaciones que aseguran que “un mes antes de un infarto el cuerpo te da señales”
Falso,Circulan en Facebook distintas publicaciones que indican que un infarto da señales con un mes de anticipación y que conducen a un link con el detalle de esta información.
Falso,"Patricia Bullrich, sobre el cepo: “Lo de los US$ 200 lo hizo Alberto Fernández”"
Falso,"Ese cupo fue implementado durante la gestión de Cambiemos, precisamente en octubre de 2019, y fue anunciado por Guido Sandleris, entonces presidente del Banco Central de la República Argentina (BCRA)"
Falso,"No, este video donde se tapa con un sticker los octógonos negros de los envases de alimentos no es de la Argentina"
Falso,"Es falso ya que se trata de un video registrado en Uruguay, donde rigen otros estándares legislativos para la rotulación de los productos alimenticios. Esto se evidencia por el precio que figura en la góndola y, además, fue desmentido a Chequeado por la propia empresa y el Ministerio de Salud de la Nación."
Falso,Thelma Fardin no tiene un sueldo de $ 400 mil mensuales en la Defensoría del Pueblo bonaerense: cobra $ 45 mil
Falso,La actriz trabaja desde julio de 2022 como “asesora personal de gabinete” de la Defensoría. Los recibos de sueldo a los que accedió Chequeado muestran que la actriz percibe un sueldo de $ 45.730 mensuales por su tarea. 
Falso,Son falsos estos posteos con citas de Gabriela Cerruti y no pertenecen a La Nación
Falso,"Esto es falso ya que la funcionaria no se expresó de esta manera públicamente. Además, el diario confirmó a Chequeado que esos posteos no son propios y que utilizan otra tipografía a la utilizada en sus redes sociales."
Falso,"No, Cristina Fernández de Kirchner no dijo: “Ahora Messi también habla de dolarizar”"
Falso,Clarín nunca publicó esa imagen y Fernández de Kirchner nunca realizó tal declaración. También es falso que Messi se haya expresado sobre la dolarización.
Falso,"No, no es una mala traducción la de este cartel de Migraciones del Aeropuerto de Ezeiza"
Falso,"La traducción al portugués es correcta, la leyenda es real y ya fue verificado por Chequeado. La empresa Aeropuertos Argentina 2000 -que opera el aeropuerto internacional- aseguró a este medio que, desde que en 2017 se anunció el programa “Brazilian Friendly”, toda la cartelería de Ezeiza se traduce al portugués y al inglés."
